"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"df_sp29","Hancock","2024","Countywide",0.05,0.15,0.25,38.06,49.64,0.94,0,5
"2.5%178","Harrison","2024","Countywide",0.06,0.11,0.17,64.26,67.87,1.16,0,24
"df_sp30","Hendricks","2024","Countywide",0.15,0.19,0.21,12.44,18.42,1.03,0,7
"df_sp31","Henry","2024","Countywide",0.17,0.18,0.21,21.49,31.14,0.99,0,19
"df_sp32","Howard","2024","Countywide",0.17,0.2,0.23,14.3,18.39,1.12,0,7
"df_sp33","Huntington","2024","Countywide",0.18,0.23,0.29,30.91,37.42,1.09,0,10
"2.5%179","Jackson","2024","Countywide",0.07,0.11,0.14,63.64,68.84,1.14,0,27
"2.5%180","Jasper","2024","Countywide",0.15,0.17,0.27,62.53,65.39,1.07,0,24
"df_sp34","Jay","2024","Countywide",0.09,0.12,0.15,36.77,47.53,1,0,19
"19","Jefferson","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"110","Jennings","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"111","Johnson","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"112","Knox","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp35","Kosciusko","2024","Countywide",0.12,0.15,0.21,57.01,76.34,1.02,0,17
"df_sp36","Lagrange","2024","Countywide",0.1,0.13,0.19,52.51,57.95,1.13,0,18
"113","Lake","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp37","Laporte","2024","Countywide",0.12,0.16,0.24,41.89,50.08,1.17,0,14
"df_sp38","Lawrence","2024","Countywide",0.05,0.09,0.11,62.92,75.8,1.09,0,16
"df_sp39","Madison","2024","Countywide",0.15,0.17,0.2,22.79,30.05,1.23,0,9
"114","Marion","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"115","Marshall","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp40","Martin","2024","Countywide",0,0.07,0.17,57.92,75.09,0.92,0,5
"2.5%181","Miami","2024","Countywide",0.16,0.17,0.2,26.04,37.44,1,0,29
"df_sp41","Monroe","2024","Countywide",0,0.02,0.15,305.45,126.2,1.22,0,14
"116","Montgomery","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"117","Morgan","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"118","Newton","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp42","Noble","2024","Countywide",0.13,0.22,0.27,28.94,41.08,0.97,0,7
"119","Ohio","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"120","Orange","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%182","Owen","2024","Countywide",0.05,0.12,0.23,83.04,82.02,1.04,0,24
"df_sp43","Parke","2024","Countywide",0.04,0.05,0.2,140.8,107.66,1.75,0,13
"121","Perry","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%183","Pike","2024","Countywide",0.09,0.13,0.19,62.9,70.72,1.13,0,26
"df_sp44","Porter","2024","Countywide",0.11,0.14,0.18,37.95,49.49,0.97,0,14
"df_sp45","Posey","2024","Countywide",0.09,0.12,0.15,23.19,28.27,1.15,0,12
