"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%431","Lake","Residential Improved","Eagle Creek",0.97,1,1.05,6.93,8.8,1.01,0,22
"2.5%432","Lake","Residential Improved","Hanover",0.98,0.98,0.99,8.18,21.8,1.01,0,1472
"2.5%433","Lake","Residential Improved","Hobart",1,1,1,7.88,16.99,1.02,0,1293
"2.5%434","Lake","Residential Improved","North",0.98,0.98,0.98,15.45,34.37,1.05,0,4422
"2.5%435","Lake","Residential Improved","Ross",0.99,1,1,18.24,40.88,1.07,0,852
"2.5%436","Lake","Residential Improved","St. John",0.99,1,1,6.79,11.9,1.01,0,1946
"2.5%437","Lake","Residential Improved","West Creek",0.99,0.99,1,9.31,18.69,1.02,0,323
"2.5%438","Lake","Residential Improved","Winfield",0.99,1,1,7.66,18.02,1.01,0,607
"1118","Laporte","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1119","Laporte","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1120","Laporte","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%439","Laporte","Commercial Improved","Countywide",0.8,0.93,0.99,15.46,20.58,1.14,0,28
"2.5%440","Laporte","Residential Vacant","Countywide",1.04,1.07,1.13,7.51,9.42,1.13,0,42
"df_sp193","Laporte","Residential Vacant","Center",0.9,1.1,1.24,8.79,12.29,1.1,0,5
"df_sp194","Laporte","Residential Vacant","Coolspring",0.91,1.05,1.13,5.07,7.72,1.11,0,5
"df_sp195","Laporte","Residential Vacant","Kankakee",1.03,1.12,1.13,3.54,4.73,1.15,0,5
"df_sp196","Laporte","Residential Vacant","Michigan",1.04,1.08,1.15,8.57,10.9,1.13,0,9
"df_sp197","Laporte","Residential Vacant","New Durham",0.88,1.15,1.25,7.97,12.72,1.12,0,5
"df_sp198","Laporte","Residential Vacant","Galena",0.99,1.03,1.19,6.95,9.4,1.14,0,8
"df_sp199","Laporte","Residential Vacant","Lincoln",0.96,1.07,1.15,5.72,7.66,1.13,0,5
"2.5%441","Laporte","Residential Improved","Countywide",0.87,0.89,0.9,11.42,15.25,1.01,0,1029
"df_sp200","Laporte","Residential Improved","Clinton",0.74,0.83,0.93,14.03,15.54,1.02,0,12
"df_sp201","Laporte","Residential Improved","Cass",0.6,0.78,0.93,15.27,18.39,1.07,0,8
"2.5%442","Laporte","Residential Improved","Center",0.87,0.9,0.9,10.7,14.77,1.01,0,300
"2.5%443","Laporte","Residential Improved","Coolspring",0.85,0.87,0.9,11.77,15.37,1,0,110
"df_sp202","Laporte","Residential Improved","Galena",0.64,0.86,0.93,16.76,21.42,1.08,0,9
"df_sp203","Laporte","Residential Improved","Hanna",0.82,0.91,0.92,8.91,13.61,1,0,12
"df_sp204","Laporte","Residential Improved","Hudson",0.72,0.91,0.96,10.31,14.47,1.11,0,8
"2.5%444","Laporte","Residential Improved","Kankakee",0.78,0.86,0.91,10.18,12.26,0.98,0,24
"df_sp205","Laporte","Residential Improved","Lincoln",0.8,0.91,0.98,8.48,12.36,1.02,0,14
"2.5%445","Laporte","Residential Improved","Michigan",0.85,0.88,0.9,12.69,16.7,1.01,0,330
"2.5%446","Laporte","Residential Improved","New Durham",0.84,0.88,0.9,9.18,12.09,1,0,43
"df_sp206","Laporte","Residential Improved","Noble",0.67,0.87,0.98,13.55,19.02,1.01,0,11
"2.5%447","Laporte","Residential Improved","Pleasant",0.81,0.89,0.9,8.88,13.17,1,0,26
"2.5%448","Laporte","Residential Improved","Scipio",0.81,0.87,0.9,9.16,11.94,1.01,0,38
"2.5%449","Laporte","Residential Improved","Springfield",0.78,0.9,0.94,12.05,16.01,0.98,0,29
"2.5%450","Laporte","Residential Improved","Union",0.79,0.86,0.91,10.59,12.75,1.02,0,35
"df_sp207","Laporte","Residential Improved","Washington",0.71,0.92,0.95,14,18.26,1.02,0,13
