"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"df_sp253","Owen","Residential Improved","Harrison",0.75,0.9,1.1,13.97,17.17,1.02,0,5
"2.5%597","Owen","Residential Improved","Jackson",0.86,0.91,0.95,13.3,18.08,1.03,0,29
"df_sp254","Owen","Residential Improved","Jefferson",0.88,0.91,0.92,6.18,9.04,1.02,0,9
"df_sp255","Owen","Residential Improved","Jennings",0.65,0.89,1.02,15.62,19.98,0.99,0,8
"df_sp256","Owen","Residential Improved","Lafayette",0.8,0.91,0.95,13.17,18,1,0,19
"df_sp257","Owen","Residential Improved","Montgomery",0.79,0.93,0.96,12.67,17.87,1.03,0,12
"df_sp258","Owen","Residential Improved","Morgan",0.68,0.9,1.01,14.96,21.27,1,0,7
"df_sp259","Owen","Residential Improved","Taylor",0.68,0.92,1.01,13.3,17.49,0.98,0,8
"2.5%598","Owen","Residential Improved","Washington",0.82,0.9,0.94,14.95,18,1.02,0,62
"2.5%599","Owen","Residential Improved","Wayne",0.8,0.91,0.94,14.99,19.55,1.01,0,25
"1149","Parke","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1150","Parke","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1151","Parke","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp260","Parke","Commercial Improved","Countywide",0.71,0.92,1.04,18.04,23.78,1,0,8
"2.5%600","Parke","Residential Vacant","Countywide",0.66,0.78,0.9,25.99,31.23,0.95,0,43
"2.5%601","Parke","Residential Vacant","Union",0.56,0.81,0.91,28.92,37.41,0.91,0,20
"2.5%602","Parke","Residential Vacant","Adams",0.66,0.76,0.97,23.27,26.25,0.99,0,22
"2.5%603","Parke","Residential Improved","Countywide",0.89,0.91,0.94,14.18,17.92,1.01,0,174
"2.5%604","Parke","Residential Improved","Adams",0.86,0.93,0.95,14.1,18,1.01,0,85
