"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"df_sp124","Jackson","Residential Vacant","Countywide",0.84,0.9,1.02,15.71,18.63,1.01,0,18
"2.5%295","Jackson","Residential Improved","Countywide",0.89,0.91,0.91,10.81,14.54,1.01,0,602
"2.5%296","Jackson","Residential Improved","Brownstown",0.88975,0.91,0.95,9.54,13.42,1.01,0,49
"df_sp125","Jackson","Residential Improved","Carr",0.84,0.94,1.09,11.86,13.28,1.03,0,8
"df_sp126","Jackson","Residential Improved","Owen",0.89,0.92,1.09,13.33,17.42,1,0,9
"2.5%297","Jackson","Residential Improved","Jackson",0.89,0.9,0.91,10.95,14.64,1.01,0,407
"df_sp127","Jackson","Residential Improved","Pershing",0.73,0.93,1,12.25,16.32,1.02,0,6
"2.5%298","Jackson","Residential Improved","Redding",0.89,0.91,0.93,11.27,15.56,1.02,0,86
"2.5%299","Jackson","Residential Improved","Vernon",0.85,0.92,0.94,9.37,13.31,1.01,0,25
"df_sp128","Jackson","Residential Improved","Washington",0.86,0.9,0.93,6.13,8.4,1,0,12
"1125","Jasper","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp129","Jasper","Industrial Improved","Countywide",0.48,0.91,1.35,22.3,34.13,0.83,0,5
"1126","Jasper","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%300","Jasper","Commercial Improved","Countywide",0.9,0.92,0.96,10.55,14.33,1.05,0,23
"df_sp130","Jasper","Commercial Improved","Keener",0.83,0.91,0.96,5.24,7.44,0.99,0,7
"df_sp131","Jasper","Commercial Improved","Marion",0.9,0.92,1.05,11.58,15.68,1.02,0,9
"df_sp132","Jasper","Commercial Improved","Barkley",0.77,0.96,1,12.97,17.43,1.08,0,7
"2.5%301","Jasper","Residential Vacant","Countywide",0.84,0.88,0.93,12.67,16.46,1.02,0,90
"2.5%302","Jasper","Residential Vacant","Keener",0.84,0.9,0.93,9.7,12.63,1.01,0,35
"1127","Jasper","Residential Vacant","Marion",NA,NA,NA,NA,NA,NA,NA,0
