"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"df_sp76","Dubois","Residential Vacant","Cass",0.76,0.9,0.96,4.36,8.18,0.98,0,5
"df_sp77","Dubois","Residential Vacant","Columbia",0.88,0.95,0.98,11.02,18.16,0.99,0,15
"2.5%161","Dubois","Residential Improved","Countywide",0.9,0.91,0.92,30.85,99.03,1.19,0,512
"2.5%162","Dubois","Residential Improved","Bainbridge",0.89,0.91,0.92,16.98,71.01,1.07,0,249
"2.5%163","Dubois","Residential Improved","Boone",0.89,0.91,0.92,46.21,122.01,1.33,0,56
"df_sp78","Dubois","Residential Improved","Cass",0.87,0.94,1,12.56,19.78,1.03,0,17
"df_sp79","Dubois","Residential Improved","Columbia",0.89,0.91,0.92,9.47,25.36,1.04,0,16
"df_sp80","Dubois","Residential Improved","Jackson",0.87,0.95,0.99,39.38,92.01,1.28,0,19
"2.5%164","Dubois","Residential Improved","Patoka",0.89,0.91,0.93,32.31,95.41,1.19,0,108
"2.5%165","Dubois","Residential Improved","Ferdinand",0.88,0.91,0.94,92.9,124.25,1.65,0,47
"157","Elkhart","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%166","Elkhart","Industrial Improved","Countywide",0.82,0.9,1,20.65,25.24,1.02,0,50
"158","Elkhart","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%167","Elkhart","Commercial Improved","Countywide",0.83,0.91,1,19.72,23.11,0.98,0,75
"2.5%168","Elkhart","Residential Vacant","Countywide",0.85,0.9,0.95,16.1,24.12,0.99,0,48
"2.5%169","Elkhart","Residential Improved","Countywide",0.92,0.93,0.93,12.34,16.49,1.01,0,2363
"2.5%170","Elkhart","Residential Improved","Baugo",0.89,0.91,0.94,12.61,17.81,1,0,142
"2.5%171","Elkhart","Residential Improved","Cleveland",0.89,0.91,0.94,13.21,17.97,1.02,0,155
"2.5%172","Elkhart","Residential Improved","Locke",0.85,0.89,0.99,15.24,17.77,1.03,0,50
"2.5%173","Elkhart","Residential Improved","Concord",0.92,0.93,0.95,12.84,16.49,1.03,0,544
"2.5%174","Elkhart","Residential Improved","Elkhart",0.92,0.94,0.95,12.03,16.13,1.01,0,419
"2.5%175","Elkhart","Residential Improved","York",0.91,0.94,0.97,10.7,15.03,1.02,0,54
"2.5%176","Elkhart","Residential Improved","Jefferson",0.92,0.93,0.95,9.11,12.1,1,0,110
"2.5%177","Elkhart","Residential Improved","Middlebury",0.88,0.91,0.97,12.99,15.82,0.99,0,108
"2.5%178","Elkhart","Residential Improved","Olive",0.92,0.93,0.97,8.64,13.4,0.99,0,38
"2.5%179","Elkhart","Residential Improved","Osolo",0.91,0.92,0.94,12.18,16.45,1.01,0,379
"2.5%180","Elkhart","Residential Improved","Union",0.89,0.92,0.94,12.4,17.39,1,0,88
"2.5%181","Elkhart","Residential Improved","Benton",0.84,0.91,1.03,15.17,21.85,1.03,0,27
"2.5%182","Elkhart","Residential Improved","Clinton",0.87,0.9,0.98,13.17,16.84,1.03,0,41
"2.5%183","Elkhart","Residential Improved","Harrison",0.89975,0.92,1.01,12.68,17.01,1,0,27
"2.5%184","Elkhart","Residential Improved","Jackson",0.88,0.93,0.95,12.04,16.29,1.02,0,85
"2.5%185","Elkhart","Residential Improved","Washington",0.9,0.93,0.96,12.49,17.67,1.01,0,96
"159","Fayette","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"160","Fayette","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp81","Fayette","Commercial Vacant","Countywide",0.39,1.02,1.71,28.8,46.86,1.11,0,5
"2.5%186","Fayette","Commercial Improved","Countywide",0.87,0.91,1.01,18.73,23.55,1.04,0,30
"2.5%187","Fayette","Residential Vacant","Countywide",0.59875,0.75,1.19,52.91,53.74,1.07,0,24
"2.5%188","Fayette","Residential Improved","Countywide",0.92,0.94,0.96,18.04,28.26,1.05,0,631
"2.5%189","Fayette","Residential Improved","Columbia",0.8695,0.92,1.02,22.28,33.39,1.11,0,33
"2.5%190","Fayette","Residential Improved","Jackson",0.88,0.92,0.96,15.19,18.92,1.02,0,59
"2.5%191","Fayette","Residential Improved","Connersville",0.91,0.93,0.96,17.78,27.53,1.05,0,367
